,I,pval_norm,var_norm,pval_norm_fdr_bh
ISG15,0.5978156163598708,0.0,0.00014580745,0.0
TACSTD2,0.590287654842376,0.0,0.00014580745,0.0
C1QB,0.5520571906393963,0.0,0.00014580745,0.0
KIAA1324,0.5459450069770392,0.0,0.00014580745,0.0
LAPTM5,0.5431989834568975,0.0,0.00014580745,0.0
PDZK1IP1,0.509859442507963,0.0,0.00014580745,0.0
SERINC2,0.5017826974474267,0.0,0.00014580745,0.0
DHCR24,0.48741575782427093,0.0,0.00014580745,0.0
PTPRF,0.4516857897693885,0.0,0.00014580745,0.0
NBL1,0.4368708781492113,0.0,0.00014580745,0.0
C1QC,0.4355877481735319,0.0,0.00014580745,0.0
C1QA,0.4233670446112874,0.0,0.00014580745,0.0
CHI3L2,0.41266565438429836,0.0,0.00014580745,0.0
CYP4Z1,0.4101389205577948,0.0,0.00014580745,0.0
COL11A1,0.3572914994677025,0.0,0.00014580745,0.0
MXRA8,0.34490585332601936,0.0,0.00014580745,0.0
PLA2G2A,0.3369688046391488,0.0,0.00014580745,0.0
GSTM3,0.3154824832322045,0.0,0.00014580745,0.0
PODN,0.30414338975080657,0.0,0.00014580745,0.0
CD52,0.2986447338252184,0.0,0.00014580745,0.0
TTC39A,0.28900538806074066,0.0,0.00014580745,0.0
CD53,0.27316646261916133,0.0,0.00014580745,0.0
COL16A1,0.24585567033969902,0.0,0.00014580745,0.0
ID3,0.2163802958103604,0.0,0.00014580745,0.0
GBP5,0.20912130997557865,0.0,0.00014580745,0.0
